,id,title,authors,paper,presentation,best,theme,abstract
0,110,Open source software and crowd sourced data for operational performance analysis,Rainer Koelle (EUROCONTROL),/seminarContent/seminar12/papers/12th_ATM_RD_Seminar_paper_110.pdf,/seminarContent/seminar12/presentations/12th_ATM_RD_Seminar_presentation_110.pdf,,Performance Measurement and Management,"This paper explores the feasibility of using open data and an open source toolbox for ensuring reproducibility in operational performance analysis of air navigation services. To date the access to operational data in support of research claims or observed performance benefits is limited. Though the majority of related data sets are established and curated by government authorities, open data access is still in its infancy. ICAO promotes a performance based approach. In that light there is stronger interest in performing regional and international benchmarking comparisons. To advance the state of the art it is important to establish common methods and tools. This paper reports on the conceptualization of the benchmarking process as a data analytical workflow and the supporting developments of an open-source data-analytical toolbox. This feasibility study demonstrates the use of the process and open data to provide a framework under which official results can be validated. The benefits of this approach have been demonstrated throughout the on-going regional benchmarking projects. The toolbox developed offers scope to expand the functionality and make operational ANS performance analyses accessible to a wider audience interested in applying harmonized global standards."
1,123,A Comparative Analysis of Models for Predicting Delays in Air Traffic Networks,"Karthik Gopalakrishnan, Hamsa Balakrishnan (MIT)",/seminarContent/seminar12/papers/12th_ATM_RD_Seminar_paper_123.pdf,/seminarContent/seminar12/presentations/12th_ATM_RD_Seminar_presentation_123.pdf,,Performance Measurement and Management,"In this paper, we compare the performance of dif-ferent approaches to predicting delays in air traffic networks. We consider three classes of models: A recently-developed aggregate model of the delay network dynamics, which we will refer to as the Markov Jump Linear System (MJLS), classical machine learning techniques like Classification and Regression Trees (CART), and three candidate Artificial Neural Network (ANN) architectures. We show that prediction performance can vary significantly depending on the choice of model/algorithm, and the type of prediction (for example, classification vs. regression). We also discuss the importance of selecting the right predictor variables, or features, in order to improve the performance of these algorithms.  The models are evaluated using operational data from the National Airspace System (NAS) of the United States. The ANN is shown to be a good algorithm for the classification problem, where it attains an average accuracy of nearly 94% in predicting whether or not delays on the 100 most-delayed links will exceed 60 min, looking two hours into the future. The MJLS model, however, is better at predicting the actual delay levels on different links, and has a mean prediction error of 4.7 min for the regression problem, for a 2 hr horizon. MJLS is also better at predicting outbound delays at the 30 major airports, with a mean error of 6.8 min, for a 2 hr prediction horizon. The effect of temporal factors, and the spatial distribution of current delays, in predicting future delays are also compared. The MJLS model, which is specifically designed to capture aggregate air traffic dynamics, leverages on these factors and outperforms the ANN in predicting the future spatial distribution of delays. In this manner, a tradeoff between model simplicity and prediction accuracy is revealed."
2,128,Predicting Performance of Ground Delay Programs,"Alexander Estes, Michael Ball, David Lovell (University of Maryland)",/seminarContent/seminar12/papers/12th_ATM_RD_Seminar_paper_128.pdf,/seminarContent/seminar12/presentations/12th_ATM_RD_Seminar_presentation_128.pdf,*,Performance Measurement and Management,Models are proposed to estimate the performance of Ground Delay Programs as air traffic management initiatives. We apply Random Forest and Gradient-Boosted Forest regression techniques within the context of Geographically Weighted Regression. We estimate both the mean and 90th percentile responses for two performance indicators: average arrival delay and the number of cancelled arrivals.
3,50,Causal Inference for ATM Counterfactual Estimation,Akhil Shah (RAND Corporation),/seminarContent/seminar12/papers/12th_ATM_RD_Seminar_paper_50.pdf,/seminarContent/seminar12/presentations/12th_ATM_RD_Seminar_presentation_50.pdf,,Performance Measurement and Management,"We propose that the Rubin potential outcomes framework of causal inference can be used to statistically estimate counterfactuals, by definition never observable, of Traffic Flow Management Initiatives (TFMI), as a novel means of quantifying the performance of Air Traffic Management (ATM) actions, despite confounding factors. Specifically, we apply the method of Propensity Scores to estimate counterfactuals and compute the increase in hourly average airborne delay which would have resulted without a Ground Delay Program, using an eleven month span of hourly weather, traffic, and delay data at JFK. Our introduction also summarizes the concepts of causal inference required for our analysis. We also offer suggestions to improve and extend our initial application of casual inference. Technical details of propensity score modeling are further covered in an appendix."
4,130,Causal Analysis of En Route Flight Inefficiency – the US Experience,"Yulin Liu, Mark Hansen (University of California, Berkeley), David Lovell, Cara Chuang, Michael Ball (University of Maryland), John Gulding (FAA)",/seminarContent/seminar12/papers/12th_ATM_RD_Seminar_paper_130.pdf,/seminarContent/seminar12/presentations/12th_ATM_RD_Seminar_presentation_130.pdf,,Performance Measurement and Management,"En route inefficiency is measured in terms of extra distance flown by an aircraft, above the theoretical shortest distance (great circle) route. Three sources of inefficiency are explored: convective weather, miles-in-trail restrictions, and winds. Historical flight records are projected onto a small set of nominal trajectories clustered from historical data, and compared against the history of the potential causal factors. Statistical models reveal the estimated influence of the factors. In this case, convective weather was the most influential factor in seeming to cause flights to deviate from what would have been a less costly trajectory. Winds and miles-in-trail restrictions are also important for some origin-destination pairs, but less significant than convective weather."
5,52,A case study of non-linear dynamics of “human-flow” behavior in terminal airspace,"Lei Yang, Suwan Yin, Minghua Hu (NUAA), Yan Xu (Technical University of Catalonia)",/seminarContent/seminar12/papers/12th_ATM_RD_Seminar_paper_52.pdf,/seminarContent/seminar12/presentations/12th_ATM_RD_Seminar_presentation_52.pdf,,Complexity and Big Data,"Air traffic is widely known as a complex and task-critical techno-social system mainly composed of airspace, procedures, aircraft and air traffic managers. In order to develop and deploy advanced operational concept and automation system scientifically and effectively, it is essential to take an in-depth research on the intrinsic air traffic dynamics and characteristics which haven’t been widely discussed. A systematical empirical study of air traffic operation in Guangzhou terminal airspace is conducted by collecting synchronized flight and air-ground communication data. Three types of metrics are proposed to measure air traffic dynamics from “human-flow” perspective: flow-based metrics, controller-based metrics and chaotic metrics. Empirical results identify synchronized free, smooth, semi-stable and congested phase states from both flow and controllers performance evolutions. Meta-cognition is explained as one of critical underlying mechanisms that drive the phase transitions. Further, by studying data series of potential conflict in “flow system” and communication behaviors in “human system”, air traffic system is proved to be a chaotic system, which presents higher short term chaotic predictability, caused by internal instability of semi-stable and congested status. These novel findings will provide theoretical basis for aggregated air traffic flow modeling, decision support system design and tactical flow management."
6,129,The Structure and Dynamics of the Multilayer Air Transport System,"Yanjun Wang, Xinhua Xu, Minghua Hu (Nanjing University of Aeronautics and Astronautics, Jianming Zhan (Air Traffic Management Bureau, Civil Aviation Administration of China)",/seminarContent/seminar12/papers/12th_ATM_RD_Seminar_paper_129.pdf,/seminarContent/seminar12/presentations/12th_ATM_RD_Seminar_presentation_129.pdf,,Complexity and Big Data,"Aircraft boarding is always on the critical path of the turnaround. Efficient boarding procedures have to consider both operational constraints and the individual passenger behaviour. In contrast to the handling processes of fuelling, catering and cleaning, the boarding process is mainly driven by the passenger and not by airport or airline employees. Models for evaluating boarding sequences mainly depend more on assumptions concerning the individual passenger processes in the aircraft than on reliable field measurements. This paper provides a comprehensive set of operational data including classification of boarding times, passenger arrival times, time to store hand luggage, and passenger interactions as a fundamental basis for the calibration of boarding simulation models. In this paper, a microscopic approach is used to model the passenger behaviour, where the passenger movement is defined as a one-dimensional, stochastic, and time/space discrete transition process. This model is used to compare measurements from field trials of boarding procedures with simulation results and achieves an accuracy of ± 5%."
7,3,Local and network impact assessment of Airport Collaborative Decision Making (A-CDM),"Denis Huet (EUROCONTROL), Simon Pickup (Atlas Chase)",/seminarContent/seminar12/papers/12th_ATM_RD_Seminar_paper_3.pdf,/seminarContent/seminar12/presentations/12th_ATM_RD_Seminar_presentation_3.pdf,,Integrated Airport/Airside Operations,"Airport Collaborative Decision Making (A-CDM) is about sharing of information between all stakeholders that actively participate in the management of the arrival, turnaround and departure of an aircraft. The concept aims to integrate systems and processes to provide improved levels of turnaround predictability and take-off time accuracy that are of benefit to the ground operation locally and the Network Manager Operations Centre (NMOC) respectively.     A 12 month study was initiated by EUROCONTROL to investigate the impact of A-CDM on local and ATM operations. The local assessment was driven primarily by information shared by the first 17 fully implemented CDM airports. Local benefits that were confirmed as part of the study include the reduction in average taxi-out times and push-back delays, increased ground handling resource utilisation and more expeditious recovery from adverse conditions. The network assessment was developed based on the significant improvement in take-off time predictability generated by CDM airports. The EUROCONTROL NEST tool was used to conduct simulations of the entire European ATM network in which CDM airports departed flights more predictably than non A-CDM airports. This study verified that increasing the number of implemented airports would deliver increases to enroute capacity due to the reduction in sector overload potential within the most congested area of the European airspace. Results suggest that a 3.5%-5.5% increase in enroute capacity could be realised when Europe’s top 50 airports become integrated. In addition, a discrete event simulation of a single enroute sector was developed to investigate the localised effects of increasing the proportion of flights arriving on each entry stream that originated from an airport that was transmitting Departure Planning Information (DPI) messages.  The conclusions reinforce the need to foster the implementation of A-CDM to more airports and to extend the concept to all airport processes (airside and landside) and therefore support the development of the SESAR Airport Operations Centre (APOC)."
8,105,Analysis of Saturation at the Airport-Airspace Integrated Operations,"Alvaro Rodriguez-Sanz, Fernando Gomez Comendador, Rosa Arnaldo Valdes (Technical University of Madrid),  Jose Manuel Cordero Garcia and Lucia Meler Garcia (CRIDA)",/seminarContent/seminar12/papers/12th_ATM_RD_Seminar_paper_105.pdf,/seminarContent/seminar12/presentations/12th_ATM_RD_Seminar_presentation_105.pdf,,Integrated Airport/Airside Operations,"This paper develops a functional analysis of the operations that represent the aircraft flow through the airport-airspace system. In this analysis, we use a dynamic spatial boundary associated with the Extended Terminal Maneuvering Area (E-TMA) concept, so inbound and outbound timestamps can be considered. The aircraft path is characterized by several temporal milestones related to the Airport Collaborative Decision Making (A-CDM) method, which allows us to study the successive hierarchical tasks. By considering the accumulated delay across the different processes and its evolution, different metrics are proposed to evaluate the system’s state and its ability to ensure an appropriate aircraft flow in terms of time-saturation. The objective is to establish a taxonomy that classifies the system’s capacity to “receive and transmit” the expected aircraft flows. Finally, the relationships among the factors that influence the aircraft flow are evaluated to create a probabilistic graphical model, using a Bayesian Network approach. This model predicts outbound delays given the probability of having different values at the causal control variables. The methodology is developed through a case study at Adolfo Suárez Madrid-Barajas Airport (LEMD): a collection of 1,500 turnaround operations (registered at the peak month of 2015) is used to statistically determine the aircraft path characteristics. The contribution of the paper is twofold: it presents a new methodological approach to evaluate the system’s state at the rotation stage and it also provides insights on the interdependencies between factors influencing performance."
9,107,A novel machine learning model to predict abnormal Runway Occupancy Times and observe related precursors,"Floris Herrema (EUROCONTROL AND TUDelft), Vincent Treve, Bruno Desart (EUROCONTROL), Ricky Curran, Dries Visser (TUDelft)",/seminarContent/seminar12/papers/12th_ATM_RD_Seminar_paper_107.pdf,/seminarContent/seminar12/presentations/12th_ATM_RD_Seminar_presentation_107.pdf,*,Integrated Airport/Airside Operations,"Accidents on the runway triggered the development and implementation of mitigation strategies.  Therefore, the airline industry is moving toward proactive risk management, which aims to identify and predict risk percursors and to mitigate risks before accidents occur.  For certain predictions Machine Learning techniques can be used.  Although many studies have explored and applied novel Machine Learning techniques on different aircraft Radar and operational Taxi data, the identification and prediction of abnormal Runway Occupancy Times and the observation of related percursors are not well developed.  In our previous papers, three feasible methods were introduced:  Lasso, Multi-Layer Perceptiona and Neural Networks to predict the Taxi-Out Time on the taxiway and the time to Fly and True Airspeed profile on final approach.  This paper presents a new Machine Learing method, where we merge these feasible Machine Learning techniques for prediction the abnormal Runway Occupancy times of unique radar data patterns.  Additionally we use in this study the Regression Tree method to observe key related precursors extracted from the top 10 features.  Compared with existing methods, the new method no longer requires predefined criteria or domain knowledge.  Tests were conductioned using runway and final approach aircraft radar data consisting of 78,321 Charles de Gaulle flights and were benchmarked against 500,000 Vienna flights."
10,23,What to say when: Guidelines to Decision Making,"Anne Papenfuss, Nils Carstengerdes, Sebastian Schier, Yves Günther (DLR)",/seminarContent/seminar12/papers/12th_ATM_RD_Seminar_paper_23.pdf,/seminarContent/seminar12/presentations/12th_ATM_RD_Seminar_presentation_23.pdf,,Integrated Airport/Airside Operations,"Because airports are currently a bottleneck in the ATM system research and development effort is spent in creating high performing airport operations. In order to actively influence airport performance, joint decisions made in an Airport Operations Control Center (APOC) are proposed. This idea raises several research questions; one is in how far guidelines for a structured communication process mitigate factors like conflicts and personality which might prevent an effective and efficient decision making in the APOC. This paper explores the impact of a concept for cooperation for airport stakeholders in a planning task. Four teams with four airport experts took part in a high-fidelity study. The guidelines significantly improved experienced team effectiveness. Results show that guidelines lead to a more pro-active, information driven decision making and mitigate some effects of individual interaction behavior."
11,116,"Aircraft Boarding – Data, Validation, Analysis",Michael Schultz (DLR e.V.),/seminarContent/seminar12/papers/12th_ATM_RD_Seminar_paper_116.pdf,/seminarContent/seminar12/presentations/12th_ATM_RD_Seminar_presentation_116.pdf,,Integrated Airport/Airside Operations,"The aircraft boarding is always on the critical path of the turnaround. Efficient boarding procedures have to consider both operational constraints and the individual passenger behavior. In contrast to the processes of fueling, catering and cleaning the boarding is mainly driven by passengers not by airport or airline employees. There are several approaches to model and simulate the aircraft boarding. In this paper a microscopic approach is used to model the passenger behavior, where the passenger movement is defined as a one dimensional, stochastic, and time/space discrete transition process. To validate the research results achieved in the past years, field trials of boarding procedures and measurements of specific processes are recorded, analyzed and transferred to the simulation environment."
