,id,title,authors,paper,presentation,best,theme,abstract
0,66,Safety risk posed to persons on the ground by commercial UAS-based services,Henk Blom & Chengpeng Jiang (TU Delft),/seminarContent/seminar14/papers/ATM_Seminar_2021_paper_66.pdf,/seminarContent/seminar14/presentations/ATM_Seminar_2021_Presentation_pdf_66.pdf,,Urban and Advanced Air Mobility I,The unique capabilities of an Unmanned Aircraft System (UAS) creates opportunities for commercial services. The key question is what is an acceptable level of risk posed to third parties on the ground that have no direct benefit from commercial UAS flights. In literature the common view is that an acceptable level of Third Party
1,24,Mid-air collisions with drones,"Hartmut Fricke, Stanley Foerster, Robert Bruehl (TU Dresden), William J. Austen (QuinetiQ) & Christoph Thiel (GfL)",/seminarContent/seminar14/papers/ATM_Seminar_2021_paper_24.pdf,/seminarContent/seminar14/presentations/ATM_Seminar_2021_Presentation_pdf_24.pdf,,Urban and Advanced Air Mobility I,"Recent technological developments have led to the emergence of affordable and increasingly capable remotely-piloted aircraft or ‘drones’ within the global marketplace. Whilst this presents substantial opportunities, it also presents a potential threat to the safety of crewed aviation. This paper discusses ongoing work by the authors to evaluate and mitigate the risk and threats associated with mid-air collisions as part of multiple initiatives to maintain and improve the high standards of aviation safety in a rapidly evolving environment. The work reported in this paper includes activities in support of two activities. The first is an ongoing ‘Horizon 2020’-funded project for the European Union Aviation Safety Agency (EASA) and led by QinetiQ in the UK, which aims to deepen the understanding of the effects of a potential mid-air collision and identify drone design strategies to mitigate their severity. The second is research at TUD estimating aircraft collision risks using stochastically acting vehicles and pilots in an agent-based simulation, now tailored to regions where commercial drones may operate in the vicinity of airports or existing and emerging urban air operations. Work in support of QinetiQ’s programme includes novel fusion and processing of multiple large datasets (including ADS-B histories) to derive probabilistic models of potential collision speeds for different classes of aircraft; this will inform ongoing collision simulation and testing studies. Work at TUD estimates probabilities for an example urban scenario using that data; results of this study indicate that management of risks within acceptable limits is possible and proposals are made to integrate this type of agent simulation as ‘air risk’ assessment in SORA."
2,41,Reinforcement learning for traffic flow management decision support,"Christine Taylor, Erik Vargo, Emily Bromberg & Everett Carson (MITRE)",/seminarContent/seminar14/papers/ATM_Seminar_2021_paper_41.pdf,/seminarContent/seminar14/presentations/ATM_Seminar_2021_Presentation_pdf_41.pdf,,"Complexity Science, Analytics and Big Data For ATM I","Recent advances in Artificial Intelligence and Machine Learning are being harnessed to solve increasingly complex problems across a variety of domains, including Air Traffic Management. Application of these methods to the domain of Traffic Flow Management, however, remains a challenge as it is first necessary to effectively represent the dynamics of weather forecasts – and the uncertainty in the resulting constraints – within the construct of the decision-making process. In this paper, we propose a novel approach for capturing weather forecast uncertainty in a reinforcement learning process that generates Traffic Flow Management strategies in a real-time environment. Specifically, we leverage Monte Carlo Tree Search to explore and evaluate potential traffic management actions against an ensemble of weather futures. The results demonstrate that under the assumptions of the operational environment developed and the objective defined, the algorithm can generate effective solutions for managing uncertain constraints, adapt to changing information, and do so in a real-time context."
3,58,Predicting arrival delays in the terminal area five hours in advance with machine learning,"Raphael Christien, Bruno Favennec, Pierrick Pasutto, Aymeric Trzmiel, Jerome Weiss & Karim Zeghal (EUROCONTROL)",/seminarContent/seminar14/papers/ATM_Seminar_2021_paper_58.pdf,/seminarContent/seminar14/presentations/ATM_Seminar_2021_Presentation_pdf_58.pdf,,"Complexity Science, Analytics and Big Data For ATM I","This paper presents a study aiming at predicting the arrival delays occurring in the terminal area up to five hours in advance. The motivation for the participating airlines is to better take into account the impact of weather at destination on fuel planning. Due to the uncertainty at these time horizons, we decided to consider delay intervals (low <5 minutes, moderate 5-10 minutes, high >10 minutes) over 30 minutes periods. We selected four European airports occasionally or frequently subject to high arrival delays (London Heathrow, Dublin, Lisbon and Zurich). The problem was framed as a classification problem and different machine learning models were developed using arrival delay, traffic demand and weather historical data from 2013 to 2019. A random forest model was found to beat the reference and outperformed the other models, although still below a perfect prediction. The performance indicator increases from 0.3 (reference) to around 0.5. In terms of prediction error, compared to the reference, the model has slightly lower performance for the low delays, similar for the moderate delays and better for high ones. Finally, a simplified case study with airlines data illustrated the potential for benefits. Indisputably, there should be a “perfor- mance barrier” due to the intrinsic uncertainty, essentially in terms of take-off times. Still, the future work should aim at determining whether the performance may be increased, by analyzing the prediction errors and the delay class overlaps."
4,73,Probabilistic Complexity in support of Airspace Capacity Management Optimisation,"Danlin Zheng, Eva Puntero & Marta Sánchez Cidoncha (CRIDA)",/seminarContent/seminar14/papers/ATM_Seminar_2021_paper_73.pdf,/seminarContent/seminar14/presentations/ATM_Seminar_2021_Presentation_pdf_73.pdf,,Network and Strategic Flow Optimisation,"The present paper addresses innovative ATM solutions for Demand and Capacity Balance, in particular Dynamic Airspace Configuration. Capacity Management processes in these environments require more critically the use of support complexity metrics tailored to the relevant use cases. An Enhanced Complexity Management including both the improvement of the metrics introducing demand uncertainty and their integration into the overall process is presented. The assessment of this Enhanced Complexity Management is presenting, assessing its technical and operational feasibility and showing its improvements in capacity and cost-efficiency."
5,83,Airport Ground Holding with Hierarchical Control Objectives,"Christopher Chin, Max Li, Karthik Gopalakrishnan & Hamsa Balakrishnan (MIT)",/seminarContent/seminar14/papers/ATM_Seminar_2021_paper_83.pdf,/seminarContent/seminar14/presentations/ATM_Seminar_2021_Presentation_pdf_83.pdf,,Network and Strategic Flow Optimisation,"Disruptions in the air transportation system, perhaps due to extreme weather, often result in unexpected, or off-nominal, delays at airports. A resilient air traffic management system seeks to restore airport delays to their nominal values quickly after such disruptions. Two primary factors make the design of efficient recovery algorithms for air transportation networks challenging: the lack of a high-fidelity model for predicting and controlling airport delay dynamics, and poor computational tractability of large-scale flight rescheduling optimization problems. We propose a two-stage hierarchical control strategy for rescheduling aircraft (i.e., assigning delays) after network disruptions. Our high-level planner leverages a low-fidelity approximation of airport delay dynamics to propose a reference plan based on user preferences. This reference plan accounts for complex objectives such as ensuring a “smooth” redistribution of delays across airports (quantified by the total variation). The low-level controller then solves the multi-airport ground holding problem (MAGHP), augmented to track the reference plan. The solution to the augmented MAGHP yields a revised flight schedule with lower total variation than the original MAGHP, while still satisfying operational constraints. We illustrate the benefits of our proposed methodology using six disruption case studies of the National Airspace System (NAS)."
6,27,Air taxi flight performance modeling and application,"Robert Bruehl, Hartmut Fricke & Michael Schultz (TU Dresden)",/seminarContent/seminar14/papers/ATM_Seminar_2021_paper_27.pdf,/seminarContent/seminar14/presentations/ATM_Seminar_2021_Presentation_pdf_27.pdf,,Urban and Advanced Air Mobility II,"Urban air mobility encompasses the idea of extending urban transportation to the airspace. For this purpose, several aircraft manufacturers and start-up companies have developed aircraft concepts for flying completely electrical. Electric aircraft have different behavior concerning flight performance, which mostly depends on battery characteristics. Due to this, electric vertical take-off and landing aircraft (eVTOL) are more limited in their flight performance concerning range and endurance than conventional aircraft. Nowadays data on that topic is mostly published by eVTOL manufacturers and seems to be quite ambitious concerning the current state of battery technology. This paper aims at determining flight performance by considering state-of-the-art battery characteristics. Each flight segment has a different influence on battery discharge, due to different power requirements. Based on an application case, the range capabilities of three eVTOLs are estimated. Therefore, the results reveal a range of around 115 km for vectored thrust eVTOL, around 70 km for lift & cruise eVTOL, and around 50 km for multicopter eVTOL."
7,1,Ground risk vs. efficiency in urban drone operations,"Leonid Sedov, Valentin Polishchuk (Linköping University) & Vishwanath Bulusu (Crown Consulting)",/seminarContent/seminar14/papers/ATM_Seminar_2021_paper_1.pdf,/seminarContent/seminar14/presentations/ATM_Seminar_2021_Presentation_pdf_1.pdf,,Urban and Advanced Air Mobility II,This paper explores trade-offs between ground impact and efficiency of drone flights in urban scenarios. We give an algorithm which produces a set of routes with different lengths and varying number of people affected by the drone. We also present an interactive online visualization tool allowing the user to modify flightpaths in order to explore routing options. Our path finder and the GUI are implemented for a metropolitan area of Norrköping municipality in Sweden. The methods studied in this paper may give UTM service provider the tools to negotiate flightplans which will be acceptable by both the regulator and the drone operator.
8,82,Protocol-based congestion management for advanced air mobility,"Christopher Chin, Karthik Gopalakrishnan, Hamsa Balakrishnan (MIT), Maxim Egorov & Antony Evans (Airbus UTM)",/seminarContent/seminar14/papers/ATM_Seminar_2021_paper_82.pdf,/seminarContent/seminar14/presentations/ATM_Seminar_2021_Presentation_pdf_82.pdf,**,Urban and Advanced Air Mobility II,"Advanced air mobility operations (e.g., air taxis and drone deliveries) are expected to significantly increase the demand for limited airspace resources. Two key characteristics of these operations are that flights will be scheduled with short lead times, and operators may be unable or reluctant, for reasons of privacy, to share flight intent information. Consequently, there is a need for congestion management algorithms that are efficient and fair in dynamic, reduced-information settings. In this paper, we address these challenges by designing a protocol that determines the rules-of-the-road for airspace access under these settings. The proposed protocol centers on the construction of priority queues to determine access to each congested volume of airspace. We leverage the concepts of backpressure and cycle detection to avoid gridlock and promote efficiency, and present several flight- and operator-level prioritization schemes. We evaluate the impacts of the prioritization schemes on system-wide and operator-level efficiency and fairness through extensive simulations of three scenarios: random flight patterns, cross- flows, and hub-based operations. In all scenarios, we find that backpressure prioritization yields the most efficient solution, and that accrued delay or dominant resource prioritization is the most fair depending on the user’s choice of fairness metric."
9,32,Spatial modeling of airport surface fuel burn for environmental impact analyses,"Sandeep Badrinath, James Abel, Hamsa Balakrishnan (MIT), Emily Joback & Tom Reynolds (MIT Lincoln Lab)",/seminarContent/seminar14/papers/ATM_Seminar_2021_paper_32.pdf,/seminarContent/seminar14/presentations/ATM_Seminar_2021_Presentation_pdf_32.pdf,*,Environment and Energy Efficiency,"The assessment of the fuel burn and emissions impact of airport surface operations is a key part of under- standing the environmental impacts of aviation. These assessments are needed at two levels: the analysis of inventories (the total amount of fuel burned and emissions discharged over some period of time), and the analysis of spatial distri- butions (the amount of emissions experienced at a particular location within or near the airport). While the availability of taxi times for the operations of interest is sufficient for inventory analysis, the analysis of spatial distributions requires estimates of where on the airport surface an aircraft is located as it consumes fuel. In this paper, we show how a data- driven queuing network model can be developed in order to estimate the time that an aircraft spends at different congested locations on the airport surface. These models are useful both in spatial distribution analysis and in accu- rately predicting taxi times in the absence of measurements (e.g., for projected demand sets). We use measurements of Ultra Fine Particles (UFPs) at Los Angeles International (LAX) airport to demonstrate that the proposed model can help predict the measured emissions at different monitoring sites located in the vicinity of the airport. In the process, we show how one could develop a machine learning model of the spatial distribution of airport surface emissions, given pollutant measurements, air traffic demand, and prevailing weather conditions. Finally, we develop a clustering-based method to evaluate the generalizability of our surface operations modeling framework."
