,id,title,authors,paper,presentation,best,theme
0,91,Reducing the Impact of Noise Abatement Strategies on Airport Capacity by Forecasting Noise,"     Robert D. Sharman, Art Shantz",/seminarContent/seminar3/papers/p_003_AGOADM.pdf,,,"Airport, Ground Operations, Arrival and Departure Management"
1,92,IPv6 and Internet Technology for the Aeronautical Telecommunication Network. A New Networking Approach,"     Phil Smith, Laurent Crouzard, Gilles Gawinowski, Ollivier Robert ",/seminarContent/seminar3/papers/p_005_ASA.pdf,,,Airborne Separation Assurance
2,93,Air Traffic Complexity : towards Intrinsic Metrics,"     Daniel Delahaye, Stphane Puechmorel",/seminarContent/seminar3/papers/p_012_AMSMP.pdf,,,"Airspace Management, System Metrics and Policy"
3,94,A Human Factors Evaluation of Active Final Approach Spacing Tool Concepts,"     Cheryl Quinn, John E. Robinson",/seminarContent/seminar3/papers/p_013_HFIHMI.pdf,,,"Human Factor Issues, Human-Machine Interfaces"
4,95,"An Airspace Planning Model for Selecting Flight-Plans under Workload, Safety and Equity Considerations","     Hanif D. Sherali, J. Cole Smith, Antonio A.Trani",/seminarContent/seminar3/papers/p_014_AMSMP.pdf,,,"Airspace Management, System Metrics and Policy"
5,96,Collaborative Optimization of Airport Arrival and Departure Traffic Flow Management Strategies for CDM,"     Eugene Gilbo, Kenneth W. Howard",/seminarContent/seminar3/papers/p_018_DSTCDM.pdf,,,Decision Support Tools and Collaborative Decision Making
6,97,The Effect of Shared Information on Pilot/Controller and Controller/ Controller Interactions,"     R. John Hansman, Hayley J. Davison",/seminarContent/seminar3/papers/p_019_HFIHMI.pdf,,,"Human Factor Issues, Human-Machine Interfaces"
7,98,Assessing the Benefits of Collaborative Decision Making in Air Traffic Management,"     Michael O. Ball, Robert L. Hoffman, Dave Knorr, James Wetherly, Mike Wambsganss",/seminarContent/seminar3/papers/p_020_AMSMP.pdf,,,"Airspace Management, System Metrics and Policy"
8,99,Pricing Policies for Air Traffic Assignment,"     Jean-Loup Farges, Karine Deschinkel, Daniel Delahaye",/seminarContent/seminar3/papers/p_021_AMSMP.pdf,,,"Airspace Management, System Metrics and Policy"
9,100,Managing Criticality of ASAS Applications,"     Batrice Bonnemaison, Andrew Zeitlin",/seminarContent/seminar3/papers/p_022_SSS.pdf,,,Safety and Separation Standards
10,101,Co-operative Optimal Conflict Avoidance in Free Flight Airspace,"     Miguel A. Vilaplana, Colin Goodchild, Stefano Elefante",/seminarContent/seminar3/papers/p_023_ASA.pdf,,,Airborne Separation Assurance
11,102,Human Factors in ATC Alarms and Notifications Design: an Experimental Evaluation,"     Sylvie Athenes, Stphane Chatty, Alexandre Bustico",/seminarContent/seminar3/papers/p_026_HFIHMI.pdf,,,"Human Factor Issues, Human-Machine Interfaces"
