,id,title,authors,paper,presentation,best,theme
0,303,An Efficient Method For Airspace Analysis And Partitioning Based On Equalized Traffic Mass,     Alexander Klein,/seminarContent/seminar6/papers/p_001_AEM.pdf,,,Safety
1,304,An Analysis of Potential Capacity Enhancements Through Wind Dependent Wake Turbulence Procedures,     Steven Lang,/seminarContent/seminar6/papers/p_002_AM.pdf,,,Safety
2,305,Safety Analysis Methodology For Unmanned Aerial Vehicle (Uav) Collision Avoidance Systems,     James Kuchar,/seminarContent/seminar6/papers/p_005_S.pdf,,,Safety
3,306,Improving Flight Efficiency Through Terminal Area Rnav,"     Kevin Sprong, Brennan Haltli",/seminarContent/seminar6/papers/p_007_AM.pdf,,,Safety>
4,307,Probabilistic Congestion Management,"     Craig Wanke, Lixia Song",/seminarContent/seminar6/papers/p_008_TFO.pdf,,,Safety
5,308,Statistical Performance Evaluation Between Linear And Nonlinear Designs For Aircraft Relative Guidance,"     Thierry MIQUEL, Jean Marc LOSCOS",/seminarContent/seminar6/papers/p_010_IAC.pdf,,,Innovative ATM concepts
6,309,Route Charging Policy For A Functional Block Of Airspace (Ceats),"     Lorenzo Castelli, Walter Ukovich",/seminarContent/seminar6/papers/p_011_IAC.pdf,,,Innovative ATM concepts
7,310,Advance Planning Through Schedule Analysis,"     Michelle Somerday, Andre Merling",/seminarContent/seminar6/papers/p_016_TFO.pdf,,,Safety
8,311,Air And Ground Simulation Of Terminal-Area Fms Arrivals With Airborne Spacing And Merging,"     Todd Callantine, Paul Lee",/seminarContent/seminar6/papers/p_017_U.pdf,,,Safety
9,312,Assessment Of The 3D-Separation Of Air Traffic Flows,"     David Gianazza, Nicolas Durand",/seminarContent/seminar6/papers/p_019_AEM.pdf,,,Safety
10,313,Economic Contribution And Productivity Of Atm,"     Paula Leal de Matos, Amedeo Odoni",/seminarContent/seminar6/papers/p_026_MPM.pdf,,,Safety
11,314,Improvement On The Acceptance Of A Conflict Resolution System By Air Traffic Controllers,"     Rainer Flicker, Manfred Fricke",/seminarContent/seminar6/papers/p_027_DS.pdf,,,Safety
12,315,Airline Operational Benefits Of Surface Surveillance,"     Dan Howell, Steve Ritchey",/seminarContent/seminar6/papers/p_028_AM.pdf,,,Safety
13,316,Pilot Perspective Of Asas Self-Separation In Challenging Environments,"     Rob Ruigrok, Nico de Gelder",/seminarContent/seminar6/papers/p_031_AGC.pdf,,,Safety
14,317,Analysis Of Excess Flying Time In The National Airspace System,"     James DeArmon, George Solomos",/seminarContent/seminar6/papers/p_032_AEM.pdf,,,Safety
15,318,Simulated Free Routing Operations In The Marseille Uir: Results And Issues From A Human Factors Perspective,"     Thomas Kircher, Philippe Trouslard",/seminarContent/seminar6/papers/p_033_HF.pdf,,,Human Factors
16,319,Outbound Punctuality Sequencing By Collaborative Departure Planning,"     Hugo Jonge, de, Eugene Tuinstra",/seminarContent/seminar6/papers/p_034_AM.pdf,,,Safety
17,320,On The Feasibility Of Traffic Synchronization In Central European Upper Airspace,     Lenka Dravecka,/seminarContent/seminar6/papers/p_035_TFO.pdf,,,Safety
18,321,Design Of An Airborne Spacing Director To Minimise Pilot Speed Actions,"     Dan Ivanescu, Chris Shaw",/seminarContent/seminar6/papers/p_036_AGC.pdf,,,Safety
19,322,Interactive And Immersive 3D Visualization For Atc,"     marc bourgois, matthew cooper",/seminarContent/seminar6/papers/p_040_IAC.pdf,,,Innovative ATM concepts
20,323,Preliminary Results From A European Safety R&D Program,     Barry Kirwan,/seminarContent/seminar6/papers/p_042_S.pdf,,,Safety
21,324,Airline Operations Managers: An Introduction To The Third Leg Of The National Air Transportation System,"     Karen Feigh, Amy Pritchett",/seminarContent/seminar6/papers/p_043_TFO.pdf,,,Safety
22,325,"Organizational Issues And Safety Culture In Atm, Part 1: Stability Analysis","     Esa Ek, Roland Akselsson",/seminarContent/seminar6/papers/p_044_HF.pdf,,,Human Factors
23,326,The Feasibility Of Measuring Capacity In A Real-Time Atm Simulation Independent Of Subjective Controller Workload Measurement,"     Kevin Corker, Rod Gingell",/seminarContent/seminar6/papers/p_046_MPM.pdf,,,Safety
24,327,Variability Of Contrail Formation Conditions And The Implications For Policies To Reduce The Climate Impacts Of Aviation,"     Victoria Williams, Robert Noland",/seminarContent/seminar6/papers/p_047_EIM.pdf,,,Safety
25,328,Environmental Tradeoffs Assessment Around Airports,"     Jean-Claude HUSTACHE, Alan MELROSE",/seminarContent/seminar6/papers/p_053_EIM.pdf,,,Safety
26,329,Flight Efficiency Studies In Europe And The United States,"     Tarja Kettunen, Jean-Claude Hustache",/seminarContent/seminar6/papers/p_055_MPM.pdf,,,Safety
27,330,Quantitatively Estimating Wake Vortex Safety Using P2P Model,"     Yue Xie, John Shortle",/seminarContent/seminar6/papers/p_057_S.pdf,,,Safety
28,331,Design For Innovation In Atm,"     Patrizia Marti, Margherita Bacigalupo ",/seminarContent/seminar6/papers/p_059_IAC.pdf,,,Innovative ATM concepts
29,332,Spacing Instructions In Approach: Benefits And Limits From An Air Traffic Controller Perspective,"     Karim Zeghal, Isabelle Grimaud",/seminarContent/seminar6/papers/p_060_AGC.pdf,,,Safety
30,333,"Impact Of Factors, Conditions And Metrics On Trajectory Prediction Accuracy","     Stephane Mondoloni, Ibrahim Bayraktutar",/seminarContent/seminar6/papers/p_062_DS.pdf,,,Safety
31,334,Expanding The Use Of Time-Based Metering: Multi-Center Traffic Management Advisor,"     Steven Landry, Ty Hoang",/seminarContent/seminar6/papers/p_066_TFO.pdf,,,Safety
32,335,Relationship Of The Aircraft Mix Index With Performance And Objective Workload Evaluation Research (Power) Measures And Complexity Ratings,     Elaine Pfleiderer,/seminarContent/seminar6/papers/p_067_HF.pdf,,,Human Factors
33,336,Dynamic Stochastic Optimization Model For Air Traffic Flow Management With En Route And Airport Capacity Constraints,"     Avijit Mukherjee, Mark Hansen",/seminarContent/seminar6/papers/p_068_TFO.pdf,,,Safety
34,337,Extent And Impact Of Future Nas Capacity Shortfalls In The United States: A Socio-Economic Demand Study,"     Earl Wingrove, David Ballard",/seminarContent/seminar6/papers/p_069_U.pdf,,,Safety
35,338,Estimation Of Delay Propagation In Aviation System Using Bayesian Network,"     Ning Xu, George Donohue",/seminarContent/seminar6/papers/p_073_IAC.pdf,,,Innovative ATM concepts
36,339,Airborne Precision Spacing In Merging Terminal Arrival Routes: A Fast-Time Simulation Study,"     Karthik Krishnamurthy, Bryan Barmore",/seminarContent/seminar6/papers/p_076_AGC.pdf,,,Safety
37,340,Human Factors Implications Of Continuous Descent Approach Procedures For Noise Abatement In Air Traffic Control,"     Hayley Davison Reynolds, Tom Reynolds",/seminarContent/seminar6/papers/p_078_EIM.pdf,,,Safety
38,341,Air Ground Communications Miami Controller Pilot Data Link Communications Summary And Assessment,"     John Gonda, William Saumsiegle",/seminarContent/seminar6/papers/p_080_DS.pdf,,,Safety
