,id,title,authors,paper,presentation,best,theme,abstract
0,355,Strategic Planning of Efficient Oceanic Flights,Banavar Sridhar,/seminarContent/seminar11/papers/355_Sridhar_1222140649-Final-Paper-4-20-15.pdf,/seminarContent/seminar11/presentations/355-Sridhar_1222140649-PresentationPDF-6-10-15.pdf,,Environment and energy efficiency,"The efficiency of oceanic flights is low due to limited navigational and communication equipment, congestion and airspace restrictions. The  availability of Automated Dependent Surveillance-Broadcast (ADS-B) and other improvements provides opportunity for better strategic  planning of trajectories. Transatlantic flights between US and Europe constitute one of the busiest oceanic airspace regions in the world.  This paper examines the benefits of a wind-optimal trajectory concept with a strategic de-confliction component compared to the current  flight planning using the North Atlantic Tracks. The methodology generates a wind-optimal route for each aircraft and a strategic reduction  in the potential conflicts between aircraft by a combination of small adjustments to departure times and rerouting. The de-confliction is  achieved by optimization techniques involving simulated annealing with local gradient searching. The fuel burn for the tracks in today’s  Organized Track System are compared with the corresponding quantities for the wind-optimized routes to evaluate the potential benefits  of flying wind-optimal routes in North Atlantic Airspace. The analysis is based on air traffic between US and Europe during July 2012. The  potential fuel savings depend on existing inefficiencies in current flight plans, atmospheric conditions and location of the city-pairs. The  paper provides both aggregate results and detailed examination of some of the most popular city-pairs. Results show that strategic  planning can improve the efficiency of flight trajectories by 3 to 5% depending on city-pairs and aircraft type. This translates into a  potential fuel savings in the range of (420-970) kg per flight for a Boeing 767-300, the most widely used aircraft between the city-pairs in  this study."
1,356,Characterizing the Effects of a Vertical Time Threshold for a Class of Well-Clear Definitions,"Jason Upchurch ,     Cesar Munoz,  Anthony Narkawicz,  Maria Consiglio,  James Chamberlain,  Jason Upchurch",/seminarContent/seminar11/papers/356_Upchurch_1229141128-Final-Paper-4-14-15.pdf,/seminarContent/seminar11/presentations/356-Upchurch_1229141128-PresentationPDF-6-29-15.pdf,,Unmanned and remotely piloted aircraft systems,"A fundamental requirement for the integration of unmanned aircraft into civil airspace is the capability of aircraft to remain well clear of  each other and avoid collisions. This requirement has led to a broad recognition of the need for an unambiguous, formal definition of ""well  clear"". It is further recognized that any such definition must be interoperable with existing airborne collision avoidance systems (ACAS). A  particular class of well-clear definitions uses logic checks of independent distance thresholds as well as independent time thresholds in the  vertical and horizontal dimensions to determine if a well-clear violation is predicted to occur within a given time interval. Existing ACAS  systems also use independent distance thresholds, however a common time threshold is used for the vertical and horizontal checks. The  main contribution of this paper is the characterization of the effects of the decoupled vertical time threshold on a well-clear definition in  terms of (1) time to well-clear violation, and (2) interoperability with existing ACAS. The paper provides governing equations for both  metrics and includes simulation results to illustrate the relationships. In this paper, interoperability implies that the time of well-clear  violation is strictly less than the time a resolution advisory is issued by ACAS. The encounter geometries under consideration in this paper  are initially well clear and consist of constant-velocity trajectories resulting in near-mid-air collisions."
2,357,Managing European Air Traffic Control Provision,"Nicole Adler ,     Eran Hanany,  Stef Proost",/seminarContent/seminar11/papers/357_Adler_0108150352-Final-Paper-5-5-15.pdf,/seminarContent/seminar11/presentations/357-Adler_0108150352-PresentationPDF-6-10-15.pdf,,Finance and Policy,"We develop a network congestion game to test a series of scenarios in order to analyse potential paths for change in air traffic management in Europe. The two stage game models air traffic control (ATC) providers that set charges and in the second stage airlines that choose flight paths given an airline schedule and the charges from the first stage. The scenarios analysed in the model include (i) the impact of privatization and deregulation; (ii) defragmentation of the set of current providers; (iii) introduction of technology via the common projects and SESAR step 1; and (iv) the regional forerunner approach in which an ATC provider and a specific airline co-operate. The results show that horizontal integration across ATC providers, known as functional airspace blocks, would appear to be problematic with respect to incentives hence regional forerunners in a bottom-up institutional process would appear to be a preferable approach. Vertical integration between companies may succeed in accelerating change as long as the ATC companies are permitted to charge for improved quality, such as reduced congestion. Institutionally, a clear separation of the ATC providers from the Member States and subsequent franchising of the support services and ATC services could further encourage efficiency, consolidation and technology adoption."
3,358,Topological characteristics of air traffic situation,Hong Yong WANG,/seminarContent/seminar11/papers/358-WANG_0111150846-Final-Paper-7-5-15.pdf,/seminarContent/seminar11/presentations/358-WANG_0111150846-PresentationPDF-6-28-15.pdf,,"Complexity science, analytics and big data for ATM","A method for description of structural characteristics of air traffic situation based on the theory of complex network was proposed. This method characterizes the air traffic situation from three dimensions, including single aircraft, local sector, and overall sector. This work provides a new clue for precise description of air traffic situation complexity. We selected the routinely-recorded flight data in an air traffic control sector within China's airspace in 2013. With the aircraft in the sector regarded as node, and with the between-aircraft proximity relations as edge, we constructed an undirected and unweighted aircraft network. The air traffic situation network under three thresholds were statistically analyzed using network topology indices including degree, edge, connection rate, clustering coefficient, and network structure entropy. The results show that network node degree can distinguish the key aircraft in the sector; the network connection rate reflects the proximity of aircraft; the clustering coefficient identifies the presence of high-density aircraft group; the network structure entropy reflects the homogeneity of aircraft node degrees."
4,359,Trawl-Net Technology for Timely Precise Air Traffic Controller Turn-To-Base Commands,"Oliver Ohneiser ,     Marco-Michael Temme,  Jürgen Rataj",/seminarContent/seminar11/papers/359_Ohneiser_0112150904-Final-Paper-5-5-15.pdf,/seminarContent/seminar11/presentations/359-Ohneiser_0112150904-PresentationPDF-5-21-15.pdf,,Human factors,"With a transition to a time-based flight guidance approach, timely precise flight guidance of aircraft will become more important in the future than today. Amongst others, air traffic controllers will have to integrate several arrival streams of aircraft with different equipage. On the one hand there are conventional equipped aircraft which are common today. On the other hand more and more aircraft will have advanced four-dimensional flight management system (A-FMS) available onboard. To stagger conventional aircraft against equipped ones which have negotiated overflight times at significant waypoints, time critical maneuvers exist. This is particularly applicable to downwind, centerline, and final. One example is the aircraft’s turn from downwind onto the centerline where each second delay in the first direction is doubled in the other one on the centerline. This paper describes our trawl-net technology that supports air traffic controllers in giving timely precise turn-to-base commands to pilots. The trawl-net technology provides for every aircraft in the vicinity of the downwind a line of optimal turn points displayed on the human machine interface (HMI). Thus the mechanism also works for aircraft flying parallel to the downwind and complement controller assistance systems like AMAN advisories or visual aircraft spacing tools."
5,363,Assistant-Based Speech Recognition for ATM Applications,"Hartmut Helmke ,     Jürgen Rataj,  Thorsten Mühlhausen,  Oliver Ohneiser,  Heiko Ehr,  Matthias Kleinert,  Youssef Oualil,  Marc Schulder",/seminarContent/seminar11/papers/363_Helmke_0120151059-Final-Paper-4-28-15.pdf,/seminarContent/seminar11/presentations/363-Helmke_0120151059-PresentationPDF-6-25-15.pdf,,Human factors,"Situation awareness of today's automation relies so far on sensor information, data bases and the information delivered by the operator using an appropriate user interface. Listening to the conversation of people is not addressed until today, but an asset in many working situations of teams. This paper shows that automatic speech recognition (ASR) integrating into air traffic management applications is an upcoming technology and is ready for use now.   Apple's Siri® or Google's Voice Search® are based on hundreds of thousands of hours of training data. This paper presents an assistant based speech recognition system (ABSR), based on only 40 hours of training data. ABSR uses speech recognition embedded in a controller assistant system, which provides a dynamic minimized world model to the speech recognizer. ASR and assistant system improve each other. On the one hand, the latter significantly reduces the search space of the first one, resulting in low command recognition error rates. On the other hand, the assistant system gains benefits from ASR. When the controllers' mental model and the model of the system deviate from each other, the controller cannot rely on the output of the system, i.e. the assistant system is useless during these time intervals. By using ASR the duration of these time intervals is reduced by a factor of two."
6,366,A risk-based framework for assessment of runway incursion events,"Sybert Stroeve ,     Pradip Som,  Bas van Doorn,  Bert Bakker",/seminarContent/seminar11/papers/366_Stroeve_0121150328-Final-Paper-4-23-15.pdf,/seminarContent/seminar11/presentations/366-Stroeve_0121150328-PresentationPDF-6-16-15.pdf,,Safety and resilience,"Current safety management of aerodrome operations uses a severity-based categorization of runway incursion events. This severity assessment is mainly based upon the outcome of a runway incursion event, in particular on the closest distance attained. As such the severity depends to a considerable extent on uncontrolled random circumstances and we argue that it is not suitable as prime indicator of the level of safety of aerodrome operations. In this paper we present a new framework for the analysis of runway incursion events, which is based on the risk of scenarios associated with the initiation of runway incursion events. An inventory of scenarios is provided, which can represent most runway incursion events involving a conflict with an aircraft. A main step in the framework is the assessment of the conditional probability of a collision given a runway incursion scenario. This can be effectively achieved for large sets of scenarios by agent-based dynamic risk modelling. The results provide detailed feedback on risks of runway incursion scenarios, thus enabling effective safety management for the most safety-critical situations."
7,369,Real-Time Trajectory Predictor Calibration through Extended Projected Profile Down-Link,"Jesper Bronsvoort ,     Greg McDonald,  Mike Paglione,  Christina M. Young,  Joachim Hochwarth,  Jean Boucquey,  Eduardo Gallo",/seminarContent/seminar11/papers/369_Bronsvoort_0121151123-Final-Paper-4-22-15.pdf,/seminarContent/seminar11/presentations/369_Bronsvoort_0121151123-PresentationPDF-6-30-15.pdf,,Trajectory and queue management,"This paper investigates the capability of the Extended Projected Profile (EPP) trajectory down-link definition to facilitate air-ground trajectory synchronisation. It will be demonstrated that the EPP allows for practically unambiguous description of the aircraft intent, but that unknown aircraft performance characteristics such as climb thrust derate, anti-ice and tail-specific drag adjustments still can lead to significant errors. These errors especially impact the ‘what-if’ functionality of ground-based trajectory predictors essential to effective trajectory negotiation and management. A method is proposed that uses the EPP down-link trajectory to determine an aircraft performance calibration function accounting for any variables not specifically recorded in the EPP, ensuring high accuracy ‘what-if’ trajectories. Where EPP on its own synchronises the current trajectory, in combination with the calibration proposed in this paper, it can synchronise the ground trajectory prediction process with that of the FMS. EPP therefore enables the ground to properly synchronise with the aircraft and creates value based on airborne and ground-based trajectory prediction capabilities."
8,370,A Framework for Assessing and Managing the Impact of ANSP Actions on Flight Efficiency,"Jesper Bronsvoort ,     Paul Zissermann,  Steven Barry,  Greg  McDonald",/seminarContent/seminar11/papers/370_Bronsvoort_0122150535-Final-Paper-6-11-15.pdf,/seminarContent/seminar11/presentations/370_Bronsvoort_0122150535-PresentationPDF-6-30-15.pdf,,ATM performance measurement and management,"This paper presents a framework for the assessment of Air Traffic Management (ATM) performance in relation to flight efficiency. The main philosophy behind the approach presented in this paper is to quantify the quality of the service delivered by an Air Navigation Service Provider (ANSP) to an airline in terms of meeting commonly agreed objectives. The definition is therefore aligned with the future paradigm of Trajectory Based Operations, where achieving the trajectory agreed between the ANSP and the airspace user becomes the focus. A staged approach to flight efficiency assessment is proposed to quantify the quality of the ANSP’s service in terms of both “facilitating what has been agreed” and “improving what can be agreed”. The framework promotes the development of more consistent efficiency performance metrics between ANSPs, as clear definitions exist for assessment references. Application of the framework was illustrated with several examples using the Airservices Dalí trajectory modeller."
9,373,Model for Longitudinal Uncertainty during Controlled Time of Arrival Operations,"David De Smedt ,     Jesper Bronsvoort,  Greg McDonald",/seminarContent/seminar11/papers/373_De Smedt_0122150153-Final-Paper-4-30-15.pdf,/seminarContent/seminar11/presentations/373-De Smedt_0122150153-PresentationPDF-6-24-15.pdf,,Trajectory and queue management,"This paper presents a model to estimate the longitudinal uncertainty of an aircraft’s future trajectory while flying towards a Controlled Time of Arrival (CTA). Uncertainties during such operations are mostly caused by meteorological forecast errors and the associated speed corrections applied by the guidance system to meet the CTA, which pose challenges to Air Traffic Control (ATC). Firstly, the model in this paper can be used to estimate the probability of spacing reductions between two in-trail aircraft performing a CTA operation. Secondly, the model allows for predicting the upper and lower bound of the possible speed corrections to meet a CTA. Thirdly, the model can be used to predict the effect of meteorological uncertainty on the range of achievable times an aircraft can reliably meet at the CTA fix. Finally, as this range of achievable times depends on the time or distance to go to the CTA fix, the model can be used to assess when or where this window will be maximal which is relevant to arrival management systems. For a popular range of aircraft types and flight conditions, 1 hour was found to be an appropriate average horizon for CTA allocation. The model was applied to a recorded set of arrival track data from Melbourne airport upon which several operational considerations were made with respect to the anticipated use of CTA."
