,id,title,authors,paper,presentation,best,theme,abstract
0,40,Integrated Time-Based Management and Performance-Based Navigation Design for Trajectory-Based Operations,"Roland M. Sgorcea, Lesley A. Weitz, Ryan W. Huleatt (MITRE), Ian M. Levitt & Robert E. Mount (FAA)",/seminarContent/seminar13/papers/ATM_Seminar_2019_paper_40.pdf,/seminarContent/seminar13/presentations/ATM_Seminar_2019_presentation_40.pdf,,Trajectory Management,"The Federal Aviation Administration (FAA) is in the process of developing and deploying a concept called Trajectory-based Operations (TBO), which, among other goals, aims to provide greater predictability and efficiency to flights by increasing the use of Performance-based Navigation (PBN) procedures and Time-based Management (TBM). To fully achieve the benefits from TBO operations, PBN procedure designs and TBM designs must be tightly integrated. To achieve some of the initial TBO objectives that have been identified (i.e., improvements in throughput, predictability, flight efficiency, and flexibility), the research presented here makes the case that PBN and TBM design must be considered together. An integrated design philosophy is needed to ensure: PBN procedures support Air Traffic Control (ATC) in managing trajectories using speed control only; TBM adaptation yields feasible schedules and accurate information for ATC’s management of flights; and predictable paths support pilots’ energy management task throughout the arrival and approach. This paper will outline the case for creating an integrated PBN and TBM design process and associated tools to help ensure TBM and PBN goals can be fully realized. The paper also includes three design examples that demonstrate the need for an integrated design process and supporting design tools."
1,43,Enroute Traffic Overflows versus Arrival Management Delays,"Raphaël Christien, Eric Hoffman & Karim Zeghal (EUROCONTROL)",/seminarContent/seminar13/papers/ATM_Seminar_2019_paper_43.pdf,/seminarContent/seminar13/presentations/ATM_Seminar_2019_presentation_43.pdf,*,Trajectory Management,"This paper presents a sensitivity analysis on the potential interactions between arrival management and network management when extending the arrival horizon. The analysis focuses on regulated enroute traffic overflows and on arrival management delays. It relies on a macroscopic modelling of arrival management delay, capturing the effect of arrival management horizon and the interaction with the network management by setting delay constraints. The model was applied on 50 days of peak periods traffic demand toward the four busiest European airports in 2017 (more than 25 000 flights). The percentage of arrival flights crossing regulated areas goes up to 60% at 400NM. The results reveal two effects of the potential interaction. Firstly, when network management regulations are not integrated by the arrival management, traffic overflows may occur for extended horizons. For a 400NM horizon, overflows up to +21% were detected (95% percentile). Secondly, when regulations are integrated, overflows disappear but flight efficiency is slightly reduced with a shift from enroute and ground delays towards terminal delay. For a 400NM horizon, this shift is respectively of 35s and 11s, leading to an increase of terminal delay of 46s (+42%). These results raise the question of trade-off and level of performances expected in terms of capacity limits (tolerance), considering that short term flow management measures may apply."
2,25,Using Machine-Learning to Dynamically Generate Operationally Acceptable Strategic Reroute Options,Antony D. Evans (Crown Consulting) & Paul U. Lee (NASA),/seminarContent/seminar13/papers/ATM_Seminar_2019_paper_25.pdf,/seminarContent/seminar13/presentations/ATM_Seminar_2019_presentation_25.pdf,,Trajectory Management,"The newly developed Trajectory Option Set (TOS), a preference-weighted set of alternative routes submitted by flight operators, is a capability in the U.S. traffic flow management system that enables automated trajectory negotiation between flight operators and Air Navigation Service Providers. The objective of this paper is to describe and demonstrate an approach for automatically generating pre-departure and airborne TOSs that have a high probability of operational acceptance. The approach uses hierarchical clustering of historical route data to identify route candidates. The probability of operational acceptance is then estimated using predictors trained on historical flight plan amendment data using supervised machine learning algorithms, allowing the routes with highest probability of operational acceptance to be selected for the TOS. Features used describe historical route usage, difference in flight time and downstream demand to capacity imbalance. A random forest was found to be the best performing algorithm for learning operational acceptability, with a model accuracy of 0.96. The approach is demonstrated for an historical pre-departure flight from Dallas/Fort Worth International Airport to Newark Liberty International Airport."
3,75,Analysis of Safety Performances for Parallel Approach Operations with Performance-based Navigation,"Stanley Förster, Hartmut Fricke (TU Dresden), Bruno Rabiller, Brian Hickling, Bruno Favennec & Karim Zeghal (EUROCONTROL)",/seminarContent/seminar13/papers/ATM_Seminar_2019_paper_75.pdf,/seminarContent/seminar13/presentations/ATM_Seminar_2019_presentation_75.pdf,,Safety,"This paper presents a sensitivity analysis of safety performances for independent parallel approach (IPA) operations, using performance based navigation (PBN) transitions connecting to final approaches still relying on ground based landing system (ILS, MLS or GLS). The analysis relies on a stochastic modelling (Monte Carlo simulations), addressing both normal and non-normal (blunder) operations, with a total of 1.700.000 runs for normal operations and 180.000.000 runs for non-normal. The focus is on the intercept phase with two parameters considered: runway spacing and location of the intermediate fix. The results indicate that, assuming a lower blunder rate, performance based navigation transitions to final provides a better safety performance in terms of loss of separation and risk of collision than vectoring to final. They also reveal that the risk of collision with performance based navigation to final is more sensitive to the location of the intermediate fix, thus requiring a careful design."
4,95,Modelling Go-Around Occurrence,"Lu Dai, Yulin Liu & Mark Hansen (UC Berkeley)",/seminarContent/seminar13/papers/ATM_Seminar_2019_paper_95.pdf,/seminarContent/seminar13/presentations/ATM_Seminar_2019_presentation_95.pdf,,Safety,"Go-around is an aborted landing of an aircraft that is on final approach. In this work, we model the impact of separation, airport condition, weather condition, and trajectory performance on go-around occurrence. A trajectory-based go- around detection algorithm has been developed and applied to the last three-quarter of JFK arrival flights in 2018. Principal component regression (PCR) model, with a retrospective causal inference design, has been estimated and further been used in counterfactual scenarios to reveal the causal correlations between factors of interest and go-around occurrence. Our results suggest that airport visibility and ceiling, flight perpendicular distance to the Extended Runway Centerline (ERC) are the two most salient factors in causing go-arounds."
5,28,What is the Potential of a Bird Strike Advisory System?,"Isabel C. Metz (DLR & TU Delft), Thorsten Mühlhausen (DLR), Joost Ellerbroek (TU Delft), Dirk Kügler (DLR) & Jacco M. Hoekstra (TU Delft)",/seminarContent/seminar13/papers/ATM_Seminar_2019_paper_28.pdf,/seminarContent/seminar13/presentations/ATM_Seminar_2019_presentation_28.pdf,,Safety,"This paper presents a collision avoidance algorithm to prevent bird strikes for aircraft departing from an airport. By using trajectory-information of aircraft and birds, the algorithm predicts potential collisions. Collision avoidance is performed by delaying departing aircraft until they can follow a collision-free trajectory. An implementation of this concept has the potential to increase aviation safety by preventing bird strikes but might reduce runway capacity due to delaying aircraft. As a precursor to the feasibility, this study investigates the maximum achievable safety effect at minimum delay costs of such a system by assuming a deterministic world. Therefore, no uncertainties regarding bird and aircraft positions were considered to enable the system to prevent all bird strikes for departing traffic while causing the smallest possible delay. The anticipated effects were studied by running fast-time simulations including three air traffic intensities at a single-runway airport and bird movements from all seasons. The results imply a high potential for the increase in safety at a reasonable reduction in runway capacity. An initial cost-estimate even revealed a strong saving potential for the airlines. Based on these results, a feasibility study of implementing a bird strike advisory system including uncertainties in bird movements as well as probabilistic effects will be performed."
6,44,Development of a Collision Avoidance Validation and Evaluation Tool (CAVEAT): Addressing the Intrinsic Uncertainty in TCAS II and ACAS X,"Sybert Stroeve, Henk Blom (NLR), Carlos Hernandez Medel, Carlos García Daroca, Alvaro Arroyo Cebeira (everis) & Stanislaw Drozdowski (EUROCONTROL)",/seminarContent/seminar13/papers/ATM_Seminar_2019_paper_44.pdf,/seminarContent/seminar13/presentations/ATM_Seminar_2019_presentation_44.pdf,*,Safety,"Airborne Collision Avoidance Systems (ACAS) form a key safety barrier by providing last-moment resolution advisories (RAs) to pilots for avoiding mid-air collisions. For the generation of advisories ACAS uses various ownship state estimates (e.g. pressure altitude) and othership measurements (e.g. range, bearing). Uncertainties, such as noise in ACAS input signals and variability in pilot performance imply that the generation of RAs and the effectuated aircraft trajectories are non-deterministic processes. These can be analysed effectively by Monte Carlo (MC) simulation of the various uncertainties in encounter scenarios. Existing ACAS simulation tools reflect the intrinsic uncertainties to a limited extent only. In recognition of the need of an ACAS evaluation tool that supports MC simulation of these uncertainties, this paper develops an agent-based model, which captures uncertainties in ACAS input and pilot performance for the simulation of encounter scenarios, while using ACAS algorithms (TCAS II, ACAS Xa). The novel ACAS evaluation tool is named CAVEAT (Collision Avoidance Validation and Evaluation Tool). Through illustrative MC simulation results it is demonstrated that the uncertainties can have significant effect on the variability in timing and types of RAs, and subsequently on the variability in the closest point of approach (CPA). It is shown that even mean results of MC simulation can differ significantly from results of a deterministic simulation. Most importantly, the tails of CPA probability distributions are affected. This stipulates that addressing all intrinsic uncertainties through MC simulation is essential for proper evaluation of ACAS."
7,63,EnAcT: Generating Aircraft Encounters using a Spherical Earth Model,"James A. Ritchie III, Andrew J. Fabian (FAA), Nidhal C. Bouaynaya (Rowan University) & Mike M. Paglione (FAA)",/seminarContent/seminar13/papers/ATM_Seminar_2019_paper_63.pdf,/seminarContent/seminar13/presentations/ATM_Seminar_2019_presentation_63.pdf,,Separation,"There is ongoing research at the Federal Aviation Administration (FAA) and other private industries to examine a concept for delegated separation in multiple classes of airspace to allow unmanned aircraft systems (UAS) to remain well clear of other aircraft. Detect and Avoid (DAA) capabilities are one potential technology being examined to maintain separation. To evaluate these DAA capabilities, input traffic scenarios are simulated based on either simple geometric aircraft trajectories or recorded traffic scenarios and are replayed in a simulator. However, these approaches are limited by the breadth of the traffic recordings available. This paper derives a new mathe- matical algorithm that uses great circle navigation equations in an Earth spherical model and an accurate aircraft performance model to generate realistic aircraft encounters in any airspace. This algorithm is implemented in a program called Encounters from Actual Trajectories (EnAcT) and uses a number of user inputs defining the encounter events, called encounter properties. Given these encounter properties, the program generates two 4- dimensional flight trajectories that satisfy these properties. This encounter generator could be used to evaluate DAA systems as well as initiate research in automation for conflict detection and resolution."
8,16,Learning Real Trajectory Data to Enhance Conflict Detection Accuracy in Closest Point of Approach Problem,"Zhengyi Wang (ENAC), Man Liang (University of South Australia), Daniel Delahaye & Weilu Wu (ENAC)",/seminarContent/seminar13/papers/ATM_Seminar_2019_paper_16.pdf,/seminarContent/seminar13/presentations/ATM_Seminar_2019_presentation_16.pdf,,Separation,"Closest Point of Approach (CPA) is one of the main problems in aircraft Conflict Detection (CD). It aims to find out the minimum distance and the associated time between two aircraft on the same altitude with crossing traffic. Conventional CPA prediction model generally assumes that the speed and heading of the aircraft are constant. But the uncertainties in real operations lead to the inaccuracy of CPA prediction. In this paper, we introduce a novel CD framework with Machine Learning (ML) methods. It aims to improve the CPA prediction accuracy with the help of real trajectory data. The new model contributes to not only reduce the number of fault short-mid term conflict alert for air traffic controllers but also support the implementation of future free flight concept, so as to reduce fuel consumption and emission. In our study, we firstly propose a data processing method to generate a close-to-reality simulation data from Mode-S observations. Then, feature engineering is used to transform the raw data into suitable features, which will enable the ML models to make predictions with high- performance. Six prevailing ML methods (MLR, SVM, FFNNs, KNN, GBM, RF) are used to predict the CPA time and distance. Their prediction results are compared with the conventional CPA model (baseline). The simulation results demonstrate that the GBM is the best prediction model both in CPA prediction and conflict detection. However, the results also prove that not all ML models outperform the baseline CPA model. Suitable ML methods can greatly enhance the accuracy of conflict detection."
9,18,A Machine Learning Approach for Conflict Resolution in Dense Traffic Scenarios with Uncertainties,"Duc-Thinh Pham, Ngoc Phu Tran, Sameer Alam, Vu Duong (Nanyang Technological University) & Daniel Delahaye (ENAC)",/seminarContent/seminar13/papers/ATM_Seminar_2019_paper_18.pdf,/seminarContent/seminar13/presentations/ATM_Seminar_2019_presentation_18.pdf,,Separation,"With the continuous growth in the air transportation demand, air traffic controllers will have to handle increased traffic and consequently more potential conflicts. That gives rise to the need for conflict resolution tools that can perform well in high-density traffic scenarios given a noisy environment. Unlike model-based approaches, learning-based or machine learning approaches can take advantage of historical traffic data and flexibly encapsulate the environmental uncertainty. In this study, we propose an artificial intelligent agent that is capable of resolving conflicts, in the presence of traffic and given uncertain- ties in conflict resolution maneuvers, without the need of prior knowledge about a set of rules mapping from conflict scenarios to expected actions. The conflict resolution task is formulated as a decision-making problem in large and complex action space, which is applicable for employing the reinforcement learning algorithm. Our work includes the development of a learning environment, scenario state representation, reward function, and learning algorithm. As a result, the proposed method, inspired from Deep Q-learning and Deep Deterministic Policy Gradient algorithms, can resolve conflicts, with a success rate of over 81%, in the presence of traffic and varying degrees of uncertainties."
