Day,Time,Type,Event Title,Event Subtitle,Event Subtitle Link,Event Speaker,Session,Track,Room,Chair,Paper ID,Presenter,Paper Title,Paper Authors
"June 5, 2023",18:00,Info,"Early registration, welcome reception",Bubbly Bar - 38 Whitaker Street,https://goo.gl/maps/g2HYFZokJ1Tpup9h6?coh=178572&entry=tthttps://goo.gl/maps/g2HYFZokJ1Tpup9h6?coh=178572&entry=tt,,,,,,,,,
"June 6, 2023",07:30,Highlight_Info,Buses depart Montgomery Street Trolley Stop,,,,,,,,,,,
"June 6, 2023",08:00,Info,Registration,,,,,,,,,,,
"June 6, 2023",08:25,Title,Plenary Opening Session,Room PARB 114/115,,,,,,,,,,
"June 6, 2023",08:30,Keynote,Welcome and Logistics,,,"Eric Neiderman, FAA and Dirk Schaefer, EUROCONTROL",,,,,,,,
"June 6, 2023",08:45,Keynote,Keynote 1,New Developments in Aerospace Transportation Technologies,./upcoming-seminar/papers-and-presentations/,"Melchor J. Antuñano, FAA",,,,,,,,
"June 6, 2023",09:30,Keynote,Keynote 2,FAA’s Landscape for UAS and AAM Integration and Strategic Outlook for Cross-Cutting Research to Integrate Emerging UAS & AAM Operations,./upcoming-seminar/papers-and-presentations/,"Sabrina Saunders-Hodge, FAA",,,,,,,,
"June 6, 2023",10:15,Highlight_Info,Coffee,,,,,,,,,,,
"June 6, 2023",10:45,Tracks,,,,,Integrated airport/airside operations,1,PARB 114/115,"Marc Bourgois, EUROCONTROL",24, Paolino De Falco,Probabilistic Pre-tactical Arrival and Departure Flight Delay Prediction with Quantile Regression ,"Ramon Dalmau, Paolino De Falco, Miroslav Spak (EUROCONTROL) & Jose Daniel Rodríguez Varela (Geneva Airport)"
"June 6, 2023",11:30,Tracks,,,,,Integrated airport/airside operations,1,PARB 114/115,"Marc Bourgois, EUROCONTROL",31,Eri Itoh,Designing a Framework of Integrated Aircraft Departure and Surface Traffic Operation via Queuing Network Models,Eri Itoh (University of Tokyo/ENRI) & Michael Schultz (Bundeswehr University Munich)
"June 6, 2023",12:15,Tracks,,,,,Integrated airport/airside operations,1,PARB 114/115,"Marc Bourgois, EUROCONTROL",55,Marek Travnik,Data-Driven Approach for Runway Braking Condition Assessment with Forecasting Capability,Marek Travnik & R. John Hansman (Massachusetts Institute of Technology)
"June 6, 2023",10:45,Tracks,,,,," Advanced communication, surveillance and navigation",2,PARB 127,"Dirk Kuegler, DLR",64, David Lovell,Debuffering Timestamped ADS-B Records for Kinematic Applications,"Zhuoxuan Cao, David Lovell (University of Maryland), Aishwarya Bokil & Seth Young (Ohio State University)"
"June 6, 2023",11:30,Tracks,,,,," Advanced communication, surveillance and navigation",2,PARB 127,"Dirk Kuegler, DLR",59,Phat Thai,Airside Surveillance by Computer Vision in Low-Visibility and Low-Fidelity Environment,"Phat Thai, Sameer Alam & Nimrod Lilith (Nanyang Technological University)"
"June 6, 2023",12:15,Tracks,,,,," Advanced communication, surveillance and navigation",2,PARB 127,"Dirk Kuegler, DLR",69,Duc-Thinh Pham,Cleared to Land - A Multi-view Vision-based Deep Learning Approach for Distance-to-Touch Down Prediction,"Duc-Thinh Pham, Gabriel James Goenawan, Sameer Alam (Nanyang Technological University) & Rainer Koelle (EUROCONTROL)"
"June 6, 2023",13:00,Highlight_Info,Lunch,,,,,,,,,,,
"June 6, 2023",14:00,Tracks,,,,,ATM performance measurement and management I,1,PARB 114/115,"Joseph Post, USF",18,Raphael Christien,Looking for the best flight efficiency indicators for arrivals,"Pierrick Pasutto & Karim Zeghal (EUROCONTROL), presented by Raphael Christien (EUROCONTROL)"
"June 6, 2023",14:45,Tracks,,,,,ATM performance measurement and management I,1,PARB 114/115,"Joseph Post, USF",37,Chuhao Deng,Area Navigation Terminal Airspace Complexity Estimation for Arrivals,"Chuhao Deng, Hong-Cheol Choi, Hyunsang Park & Inseok Hwang (Purdue University)"
"June 6, 2023",14:00,Tracks,,,,,Weather in ATM I,2,PARB 127,"Craig Wanke, MITRE",26,James Jones,Risk-Adjusted Traffic Management Strategies for Convective Weather Conditions,James Jones & Zachary Ellenbogen (MIT Lincoln Laboratory)
"June 6, 2023",14:45,Tracks,,,,,Weather in ATM I,2,PARB 127,"Craig Wanke, MITRE",34,Gabriele Enea,Evaluation of Convective Weather Impacts on US and European Airports,"Gabriele Enea, Tom Reynolds, Margo Pawlak (MIT Lincoln Laboratory), Alexander Lau (DLR),  et al."
"June 6, 2023",14:00,Tracks,,,,," 4-D Trajectory planning, prediction, and management",3,PARB 128,"Sameer Alam, NTU",13,Hiroko Hirabayash,Airspace Design Proposal for Efficient Flight Operations in North Pacific Oceanic Airspace,"Hiroko Hirabayashi, Mark Brown (ENRI) & Noboru Takeichi (Tokyo Metropolitan University)"
"June 6, 2023",14:45,Tracks,,,,," 4-D Trajectory planning, prediction, and management",3,PARB 128,"Sameer Alam, NTU",21,Almudena Buelta,Towards Multi-Aircraft Transfer Learning for Trajectory Tracking,"Almudena Buelta, Alberto Olivares & Ernesto Staffetti (University Rey Juan Carlos)"
"June 6, 2023",15:30,Highlight_Info,Coffee,,,,,,,,,,,
"June 6, 2023",16:00,Tracks,,,,,ATM performance measurement and management II,1,PARB 114/115,"Joseph Post, USF",20,Dan Howell,Estimating the impact of increasing Pilot-Applied Separation on Approach,"Dan Howell, Jennifer King, Lynn Tran (Regulus Group), Alejandro Rodriguez & Doug Arbuckle (FAA)"
"June 6, 2023",16:45,Tracks,,,,,ATM performance measurement and management II,1,PARB 114/115,"Joseph Post, USF",57,Henrik Hardell,Performance Characterization of Arrival Operations with Point Merge at Oslo Gardermoen Airport,"Tatiana Polishchuk, Henrik Hardell, Anastasia Lemetti & Lucie Smetanová (Linköping University)"
"June 6, 2023",16:00,Tracks,,,,,Weather in ATM II,2,PARB 127,"Craig Wanke, MITRE",51,Esther Roosenbrand,Estimating Wind Fields Using Physically Inspired Neural Networks With Aircraft Surveillance Data,"Jari Malfliet, Junzi Sun & Jacco Hoekstra (TU Delft) presented by Esther Roosenbrand (TU Delft)"
"June 6, 2023",16:45,Tracks,,,,,Weather in ATM II,2,PARB 127,"Craig Wanke, MITRE",54,Marta Sánchez-Cidoncha,Machine Learning to Predict Convective Weather and its Impact on En-Route Capacity,"Marta Sánchez-Cidoncha, Danlin Zheng, Pablo Gil (CRIDA), Gilles Gawinowski, Ramón Dalmau (EUROCONTROL) et al."
"June 6, 2023",16:00,Tracks,,,,,"Economics, finance and policy",3,PARB 128,"Eric Neiderman, FAA",17,Thomas Standfuss,Determinants of Performance in European ATM - How to Analyze a Diverse Industry,"Thomas Standfuss, Hartmut Fricke, Georg Hirte (TU Dresden) & Frank Fichert (Worms University of Applied Sciences)"
"June 6, 2023",16:45,Tracks,,,,,"Economics, finance and policy",3,PARB 128,"Eric Neiderman, FAA",27,Hamsa Balakrishnan,Market Structures for Service Providers in Advanced Air Mobility,"Victor Qin, Geoffrey Ding & Hamsa Balakrishnan (Massachusetts Institute of Technology)"
"June 6, 2023",17:45,Highlight_Info,Buses depart conference center,,,,,,,,,,,
"June 7, 2023",06:00,Info,5K fun run/walk,,,,,,,,,,,
"June 7, 2023",08:45,Info,Buses depart Montgomery Street Trolley Stop,,,,,,,,,,,
"June 7, 2023",09:30,Tracks,,,,,Human factors,1,PARB 114/115,"Dirk Schaefer, EUROCONTROL",2,Hartmut Helmke & Hunter Kopald ,Transatlantic Approaches for Automatic Speech Understanding in Air Traffic Management,"Hartmut Helmke, Oliver Ohneiser,  Matthias Kleinert (DLR), Shuo Chen, Hunter Kopald & Robert M. Tarakan (MITRE CAASD)  "
"June 7, 2023",10:15,Tracks,,,,,Human factors,1,PARB 114/115,"Dirk Schaefer, EUROCONTROL",49,Gijs de Rooij,Contributing Factors to Flight-Centric Complexity in En-Route Air Traffic Control,"Gijs de Rooij, Amber Stienstra, Clark Borst, Marinus M. van Paassen, Max Mulder (TU Delft) & Adam B. Tisza (EUROCONTROL)"
"June 7, 2023",11:00,Tracks,,,,,Human factors,1,PARB 114/115,"Dirk Schaefer, EUROCONTROL",4,Hartmut Helmke,Automatic Speech Recognition and Understanding for Radar  Label Maintenance Support Increases Safety and Reduces Air Traffic Controllers’ Workload,"Hartmut Helmke, Matthias Kleinert, Nils Ahrenhold (DLR) et al."
"June 7, 2023",09:30,Tracks,,,,,Separation assurance and safety nets,2,PARB 127,"Paula Nouragas, FAA",16,Timothé Krauth,Collision Risk Assessment in Terminal Manoeuvring Areas based on Trajectory Generation Methods,"Timothé Krauth, Benoit Figuet (Zurich University of Applied Sciences), Xavier Olive & Jérôme Morio (ONERA)"
