,id,title,authors,paper,presentation,best,theme
0,373,THE COMPUTATION OF COMMUNICATION COMPLEXITY IN AIR TRAFFIC CONTROL MESSAGES,"     O, Veronika 'Roni' Prinzo",/seminarContent/seminar7/papers/p_001_HF.pdf,,,Human Factors
1,374,Prediction of Operational Failure States at Airports by Means of Stochastic Transition Matrices,     Daniel Schaad,/seminarContent/seminar7/papers/p_011_IAM.pdf,,,Safety
2,375,AEDT GLOBAL NOX DEMONSTRATION,"     Theodore Thrasher, Alex Nguyen, Clifford Hall, Gregg Fleming, Christopher Roof, Sathya Balasubramanian, Fabio Grandi, Scott Usdrowski, Eric Dinges, Carl Burleson, Lourdes Maurice, Ralph Iovinelli",/seminarContent/seminar7/papers/p_016_EC.pdf,,,Environmental Considerations in ATM System Design
3,376,Determining the Environmental Benefits of Implementing Continuous Descent Approach Procedures,     Eric Dinges,/seminarContent/seminar7/papers/p_017_EC.pdf,,,Environmental Considerations in ATM System Design
4,377,A Quantitative Model for En Route Error Rate Analysis,"     Gerald Shapiro, Daniel Murphy",/seminarContent/seminar7/papers/p_020_S.pdf,,,Safety
5,378,Air-Traffic Complexity Resolution in Multi-Sector Planning Using Constraint Programming,     Pierre Flener,/seminarContent/seminar7/papers/p_023_IAC.pdf,,,Innovative ATM concepts
6,379,Weather Index With Queuing Component For National Airspace System Performance Assessment ,"     Alexander Klein, Richard Jehlen, Diana Liang",/seminarContent/seminar7/papers/p_024_AAPM.pdf,,,Safety
7,380,"DEVELOPMENT OF AN ALGORITHM TO MODEL THE LANDING OPERATIONS, BASED ON STATISTICAL ANALYSIS OF ACTUAL DATA SURVEY (PROESTOP)","     Carlos Barbas, Javier Vázquez, Pablo López",/seminarContent/seminar7/papers/p_027_AAPM.pdf,,,Safety
8,381,"Incremental, Probabilistic Decision Making for En Route Traffic Management","     Craig Wanke, Daniel Greenbaum",/seminarContent/seminar7/papers/p_035_NTFO.pdf,,,Safety
9,382,Macroscopic Workload Model for Estimating En Route Sector Capacity,     Jerry Welch,/seminarContent/seminar7/papers/p_037_NTFO.pdf,,,Safety
10,383,Predicting Sector Capacity for TFM,     Lixia Song,/seminarContent/seminar7/papers/p_038_DAM.pdf,,,Dynamic Airspace Management
11,384,So it’s Reliable but is it Safe? A more Balanced Approach to ATM Safety Assessment,     Derek Fowler,/seminarContent/seminar7/papers/p_041_S.pdf,,,Safety
12,385,Air navigation service charges in Europe,"     Lorenzo Castelli, Andrea Ranieri",/seminarContent/seminar7/papers/p_047_FDII.pdf,,,Safety
13,386,Safety risk analysis of runway incursion alert systems in the tower and cockpit by multi-agent systemic accident modelling ,"     Sybert Stroeve, Bert Bakker, Henk Blom",/seminarContent/seminar7/papers/p_051_S.pdf,,,Safety
14,387,Airspace Complexity Measurement: An Air Traffic Control Simulation Analysis,     Parimal Kopardekar,/seminarContent/seminar7/papers/p_052_AAPM.pdf,,,Safety
15,388,Algorithms for Managing Sector Congestion Using The Airspace Restriction Planner,     Parimal Kopardekar,/seminarContent/seminar7/papers/p_053_NTFO.pdf,,,Safety
16,389,A-SMGCS VERIFICATION AND VALIDATION RESULTS FROM THE PROJECT EMMA (LEVEL 1&2),"     Jörn Jakobi, Jürgen Teutsch",/seminarContent/seminar7/papers/p_055_IAM.pdf,,,Safety
17,390,"A PSYCHOSOCIAL APPROACH TO UNDERSTANDING PILOT AND CONTROLLER ACCEPTANCE OF CHANGE IN ATM, BASED ON THREE CDA CASE STUDIES","     Andrew Cook, Graham Tanner",/seminarContent/seminar7/papers/p_056_IAC.pdf,,,Innovative ATM concepts
18,391,Safety Analysis Methodology for ADS-B Based Surveillance Applications,"     Jonathan Hammer, Gilbert Calgaris, Marta Llobet",/seminarContent/seminar7/papers/p_058_S.pdf,,,Safety
