,id,title,authors,paper,presentation,best,theme,abstract
0,2,Transatlantic Approaches for Automatic Speech Understanding in Air Traffic Management,"Hartmut Helmke, Shuo Chen, Oliver Ohneiser, Hunter Kopald, Robert M. Tarakan and Matthias Kleinert",/seminarContent/seminar15/papers/ATM2023_paper_2.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_2.pdf,,Human factors,
1,4,Automatic Speech Recognition and Understanding for Radar  Label Maintenance Support Increases Safety and Reduces Air Traffic Controllers’ Workload,"Hartmut Helmke, Matthias Kleinert, Nils Ahrenhold, Heiko Ehr, Thorsten Mühlhausen, Oliver Ohneiser, Lucas Klamert, Petr Motlicek, Amrutha Prasad, Juan Pablo Zuluaga-Gomez, Jelena Dokic and Ella Pinska Chauvin",/seminarContent/seminar15/papers/ATM2023_paper_4.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_4.pdf,,Human factors,
2,10,Potential of United States and European Regional Air Cargo Operations for Uncrewed Aircraft Systems,"Jordan Sakakeeny, Tim Felix Sievers and Husni Idris",/seminarContent/seminar15/papers/ATM2023_paper_10.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_10.pdf,,"Autonomous, unmanned and remotely piloted aircraft systems",
3,13,Airspace Design Proposal for Efficient Flight Operations in North Pacific Oceanic Airspace,"Hiroko Hirabayashi, Mark Brown and Noboru Takeichi",/seminarContent/seminar15/papers/ATM2023_paper_13.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_13.pdf,,"4-D Trajectory planning, prediction, and management",
4,16,Collision Risk Assessment in Terminal Manoeuvring Areas based on Trajectory Generation Methods,"Timothé Krauth, Benoit Figuet, Xavier Olive and Jérôme Morio",/seminarContent/seminar15/papers/ATM2023_paper_16.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_16.pdf,,Separation assurance and safety nets,
5,17,Determinants of Performance in European ATM - How to Analyze a Diverse Industry,"Thomas Standfuss, Hartmut Fricke, Georg Hirte and Frank Fichert",/seminarContent/seminar15/papers/ATM2023_paper_17.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_17.pdf,,"Economics, finance and policy",
6,18,Looking for the best flight efficiency indicators for arrivals,Pierrick Pasutto and Karim Zeghal,/seminarContent/seminar15/papers/ATM2023_paper_18.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_18.pdf,,ATM performance measurement and management,
7,19,Quantitative air risk assessment for a drone inspection mission along fast-train lines,"Xavier Olive, Patrick Le Blaye, Leonid Senov and Timothé Krauth",/seminarContent/seminar15/papers/ATM2023_paper_19.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_19.pdf,,"Autonomous, unmanned and remotely piloted aircraft systems",
8,20,Estimating the impact of increasing Pilot-Applied Separation on Approach,"Dan Howell, Jennifer King, Lynn Tran, Alejandro Rodriguez and Doug Arbuckle",/seminarContent/seminar15/papers/ATM2023_paper_20.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_20.pdf,,ATM performance measurement and management,
9,21,Towards Multi-Aircraft Transfer Learning for Trajectory Tracking,"Almudena Buelta, Alberto Olivares and Ernesto Staffetti",/seminarContent/seminar15/papers/ATM2023_paper_21.pdf,/seminarContent/seminar15/presentations/ATM2023_Presentation_21.pdf,,"4-D Trajectory planning, prediction, and management",
